Total symbols: 214

102: flag=0x54, name=VxMemAllocZeroed, address=0x338790
103: flag=0x54, name=taskSpawn, address=0x338B8C
104: flag=0x54, name=socket, address=0x339410
105: flag=0x54, name=shutdown, address=0x339424
106: flag=0x54, name=bind, address=0x339438
107: flag=0x54, name=listen, address=0x339458
108: flag=0x54, name=accept, address=0x339478
109: flag=0x54, name=send, address=0x33948C
110: flag=0x54, name=sendto, address=0x3394CC
111: flag=0x54, name=recv, address=0x33951C
112: flag=0x54, name=recvfrom, address=0x33955C
113: flag=0x54, name=select, address=0x3395C8
114: flag=0x54, name=socketIoctlCompat, address=0x3395F0
115: flag=0x54, name=setsockopt, address=0x339738
116: flag=0x54, name=_tx_initialize_high_level, address=0x3B32B0
117: flag=0x54, name=_tx_thread_create, address=0x3B46CC
118: flag=0x54, name=_tx_thread_shell_entry, address=0x3B4B60
119: flag=0x54, name=_tx_thread_stack_build, address=0x3B5EB0
120: flag=0x54, name=oswCreateTask, address=0x3C9618
121: flag=0x54, name=oswCreateSemaphore, address=0x3CA170
122: flag=0x54, name=PictBridgeDrvInit, address=0x7C9C0C
123: flag=0x54, name=emu_timer_Init, address=0x803438
124: flag=0x54, name=j_WifiGetConnectionStatus, address=0x80492C
125: flag=0x54, name=j_mcbFree_3, address=0x8124F4
126: flag=0x54, name=j_memset, address=0x815C84
127: flag=0x54, name=pscInitialize, address=0x825ED0
128: flag=0x54, name=csrIplServerInitialize, address=0x82D2CC
129: flag=0x54, name=j_WifiGetConnectionStatus_0, address=0x8426A0
130: flag=0x54, name=hc_OpenInputChannel, address=0x8582B4
131: flag=0x54, name=QMngTaskEntry, address=0x85BF18
132: flag=0x54, name=WifiRegisterLinkStatusCallback, address=0x86F42C
133: flag=0x54, name=j_j_VxMemFree_1, address=0x8777B0
134: flag=0x54, name=os_bind, address=0x88A4D8
135: flag=0x54, name=os_recv, address=0x88A64C
136: flag=0x54, name=os_recvfrom, address=0x88A6B0
137: flag=0x54, name=os_sendto, address=0x88A8B0
138: flag=0x54, name=os_send, address=0x88A9BC
139: flag=0x54, name=j_VxMemAllocZeroed_1, address=0x88BA64
140: flag=0x54, name=j_VxMemFree_1, address=0x88BA6C
141: flag=0x54, name=j_memset_0, address=0x88BA78
142: flag=0x54, name=j_strlen, address=0x88BB64
143: flag=0x54, name=j_strcmp, address=0x88BB68
144: flag=0x54, name=j_strncmp, address=0x88BB6C
145: flag=0x54, name=j_strchr, address=0x88BB70
146: flag=0x54, name=j_strcmp_0, address=0x88BB78
147: flag=0x54, name=j_strncmp_0, address=0x88BB7C
148: flag=0x54, name=j_strstr, address=0x88BB84
149: flag=0x54, name=fnsSetSockOpt, address=0x8C2054
150: flag=0x54, name=fnsSocket, address=0x8C2144
151: flag=0x54, name=fnsClose, address=0x8C2320
152: flag=0x54, name=so_shutdown_internal, address=0x8C2CB0
153: flag=0x54, name=fnsSendTo, address=0x8C41C8
154: flag=0x54, name=fnsSend, address=0x8C44FC
155: flag=0x54, name=fnsRecv, address=0x8CD014
156: flag=0x54, name=fnsListen, address=0x8D5010
157: flag=0x54, name=fnsSelect, address=0x8F939C
158: flag=0x54, name=fnsBind, address=0x8FA59C
159: flag=0x54, name=fnsAccept, address=0x8FB414
160: flag=0x54, name=format_vxworks_compat_version, address=0x944E68
161: flag=0x54, name=emfSchedCallback, address=0x9500FC
162: flag=0x54, name=emfSchedProcess, address=0x950234
163: flag=0x54, name=websParseMultipartFormData, address=0x9503F0
164: flag=0x54, name=websOpenServer, address=0x950958
165: flag=0x54, name=websOpen, address=0x950AAC
166: flag=0x54, name=websValid, address=0x951880
167: flag=0x54, name=websAlloc, address=0x951AE8
168: flag=0x54, name=websAccept, address=0x951BE0
169: flag=0x54, name=websTimeout, address=0x951DBC
170: flag=0x54, name=websError, address=0x9521BC
171: flag=0x54, name=websGetInput, address=0x952294
172: flag=0x54, name=websReadEvent, address=0x952D58
173: flag=0x54, name=websSocketEvent, address=0x9533D8
174: flag=0x54, name=websParseUrl, address=0x953568
175: flag=0x54, name=MemFindString, address=0x954374
176: flag=0x54, name=socketOpen, address=0x954AD4
177: flag=0x54, name=socketSelect, address=0x954BC8
178: flag=0x54, name=socketReady, address=0x954E6C
179: flag=0x54, name=socketSetBlock, address=0x954FE8
180: flag=0x54, name=socketProcess, address=0x955090
181: flag=0x54, name=socketOpenConnection, address=0x955484
182: flag=0x54, name=dni_http_recv, address=0x9558C4
183: flag=0x54, name=socketSend, address=0x955B1C
184: flag=0x54, name=socketAlloc, address=0x955C34
185: flag=0x54, name=socketPtr, address=0x955E8C
186: flag=0x54, name=socketClose, address=0x955ED8
187: flag=0x54, name=socketCreateHandler, address=0x9560A0
188: flag=0x54, name=socketBufferedLen, address=0x9561DC
189: flag=0x54, name=socketFlush, address=0x95633C
190: flag=0x54, name=ringqLen, address=0x957390
191: flag=0x54, name=ringqPutStr, address=0x957640
192: flag=0x54, name=LanguageAspHandlers_Init, address=0x958704
193: flag=0x54, name=websUrlHandlerDefine, address=0x95893C
194: flag=0x54, name=websFormHandler, address=0x958EDC
195: flag=0x54, name=websFormDefine, address=0x958FB8
196: flag=0x54, name=DniFormHandlers_Init, address=0x95C464
197: flag=0x54, name=websDefaultHandler, address=0x969478
198: flag=0x54, name=websCgiCleanup, address=0x969E60
199: flag=0x54, name=bopen, address=0x96A278
200: flag=0x54, name=csrPipeInitialize, address=0xAB3A70
201: flag=0x54, name=exit, address=0xCB8584
202: flag=0x54, name=memset, address=0xCBB738
203: flag=0x54, name=snprintf, address=0xCBD8E8
204: flag=0x54, name=sprintf, address=0xCBD9EC
205: flag=0x54, name=strcasecmp, address=0xCBDC3C
206: flag=0x54, name=strchr, address=0xCBDD30
207: flag=0x54, name=strcmp, address=0xCBDF14
208: flag=0x54, name=strcpy, address=0xCBE144
209: flag=0x54, name=strlen, address=0xCBFA68
210: flag=0x54, name=strncmp, address=0xCBFBEC
211: flag=0x54, name=strncpy, address=0xCBFD24
212: flag=0x54, name=strstr, address=0xCC03C0
213: flag=0x54, name=__call_exitprocs, address=0xCC96F0
