Total symbols: 178

110: flag=0x54, name=accept, address=0x18ED84
111: flag=0x54, name=send, address=0x18ED98
112: flag=0x54, name=sendto, address=0x18EDD0
113: flag=0x54, name=recv, address=0x18EE20
114: flag=0x54, name=recvfrom, address=0x18EE58
115: flag=0x54, name=socketCloseCompat, address=0x18EE88
116: flag=0x54, name=select, address=0x18EEC4
117: flag=0x54, name=socketIoctlCompat, address=0x18EEEC
118: flag=0x54, name=setsockopt, address=0x18F15C
119: flag=0x54, name=HTTPappendResponseData, address=0x1CB7D8
120: flag=0x54, name=HTTPClearHeaders, address=0x1CB860
121: flag=0x54, name=HTTPaddHeader, address=0x1CB888
122: flag=0x54, name=HTTPfindHeader, address=0x1CB9B4
123: flag=0x54, name=HTTPsend, address=0x1CBC84
124: flag=0x54, name=HTTPsendHeaders, address=0x1CBE04
125: flag=0x54, name=HTTPparse, address=0x1CC8C8
126: flag=0x54, name=HTTPparseDate, address=0x1CDD44
127: flag=0x54, name=HTTPfetchResource, address=0x1CEB4C
128: flag=0x54, name=HTTPserve, address=0x1CFCB4
129: flag=0x54, name=HTTPserveClient, address=0x1D103C
130: flag=0x54, name=os_socket, address=0x23FB00
131: flag=0x54, name=os_bind, address=0x23FC28
132: flag=0x54, name=os_recv, address=0x23FDE8
133: flag=0x54, name=os_recvfrom, address=0x23FE4C
134: flag=0x54, name=os_sendto, address=0x2400B4
135: flag=0x54, name=os_send, address=0x240214
136: flag=0x54, name=j_memset, address=0x241968
137: flag=0x54, name=j_strlen, address=0x241A54
138: flag=0x54, name=j_strcmp, address=0x241A58
139: flag=0x54, name=j_strncmp, address=0x241A5C
140: flag=0x54, name=j_strchr, address=0x241A60
141: flag=0x54, name=j_strcmp_0, address=0x241A68
142: flag=0x54, name=j_strncmp_0, address=0x241A6C
143: flag=0x54, name=j_strncpy, address=0x241A70
144: flag=0x54, name=j_strstr, address=0x241A74
145: flag=0x54, name=fnsSendTo, address=0x29AF38
146: flag=0x54, name=fnsListen, address=0x2A3920
147: flag=0x54, name=fnsSelect, address=0x2A686C
148: flag=0x54, name=format_vxworks_compat_version, address=0x2B9F74
149: flag=0x54, name=_tx_initialize_high_level, address=0x42ABE4
150: flag=0x54, name=_tx_initialize_kernel_enter, address=0x42AC88
151: flag=0x54, name=_tx_thread_create, address=0x42B238
152: flag=0x54, name=_tx_thread_initialize, address=0x42B3E4
153: flag=0x54, name=_tx_thread_shell_entry, address=0x42B640
154: flag=0x54, name=_tx_thread_sleep, address=0x42B6C8
155: flag=0x54, name=_tx_timer_initialize, address=0x42BEE8
156: flag=0x54, name=_tx_timer_thread_entry, address=0x42C138
157: flag=0x54, name=_txe_thread_create, address=0x42D668
158: flag=0x54, name=_tx_initialize_low_level, address=0x42DF40
159: flag=0x54, name=_tx_thread_interrupt_disable, address=0x42E2A4
160: flag=0x54, name=_tx_thread_interrupt_restore, address=0x42E2B4
161: flag=0x54, name=_tx_thread_schedule, address=0x42E2BC
162: flag=0x54, name=_tx_thread_stack_build, address=0x42E34C
163: flag=0x54, name=ctime_r, address=0x52D4FC
164: flag=0x54, name=exit, address=0x52D534
165: flag=0x54, name=memset, address=0x530C44
166: flag=0x54, name=snprintf, address=0x533560
167: flag=0x54, name=sprintf, address=0x533664
168: flag=0x54, name=strcasecmp, address=0x5338B4
169: flag=0x54, name=strchr, address=0x5339AC
170: flag=0x54, name=strcmp, address=0x533B78
171: flag=0x54, name=strcpy, address=0x533DA8
172: flag=0x54, name=strlen, address=0x5355B4
173: flag=0x54, name=strncmp, address=0x535774
174: flag=0x54, name=strncpy, address=0x5358B4
175: flag=0x54, name=strstr, address=0x535EA0
176: flag=0x54, name=strtol, address=0x537DA0
177: flag=0x54, name=__call_exitprocs, address=0x54039C
